name,Q,n_points,v_chi2,v_chi2_dof,v_bic,v_A,v_rc,v_ups,n_chi2,n_chi2_dof,n_bic,n_A,n_rc,n_ups,delta_bic
CamB,2,9,13.2398,2.2066,19.83,24.1200,1.1000,0.0000,28.8628,4.8105,35.45,56.8737,14.1725,0.0000,5904.10
D564-8,2,6,0.7077,0.2359,6.08,30.0000,1.0000,0.1500,10.1148,3.3716,15.49,53.1468,5.7877,0.4530,5904.10
D631-7,1,16,35.7651,2.7512,44.08,63.1800,2.0000,0.0000,112.4535,8.6503,120.77,124.3636,12.8390,0.0000,5904.10
DDO064,1,14,4.4618,0.4056,12.38,56.2800,1.0000,0.5000,10.8726,0.9884,18.79,68.0988,7.7812,2.6620,5904.10
DDO154,2,12,42.3003,4.7000,49.76,63.6240,2.2000,1.1340,160.9735,17.8859,168.43,93.1519,5.7062,0.1575,5904.10
DDO161,1,31,10.7441,0.3837,21.05,81.0000,5.0000,0.7200,163.7100,5.8468,174.01,118.5921,9.5497,0.1575,5904.10
DDO168,2,10,51.1257,7.3037,58.03,72.6000,2.2000,1.1340,172.3745,24.6249,179.28,87.8460,6.4308,1.9602,5904.10
DDO170,2,8,20.5859,4.1172,26.82,74.6400,5.0000,2.2000,59.1688,11.8338,65.41,99.3458,10.7179,2.6354,5904.10
ESO079-G014,1,15,32.2548,2.6879,40.38,213.6000,8.8000,0.8000,81.0685,6.7557,89.19,187.6391,36.7598,1.4000,5904.10
ESO116-G012,1,15,15.5227,1.2936,23.65,134.4000,3.3000,0.8000,88.2169,7.3514,96.34,216.4525,12.7552,0.8609,5904.10
ESO444-G084,2,7,4.6309,1.1577,10.47,75.7200,1.0000,1.2600,35.9250,8.9812,41.76,121.9478,3.5077,1.0313,5904.10
ESO563-G021,1,30,291.3431,10.7905,301.55,282.4800,5.9895,0.7200,1089.9955,40.3702,1100.20,0.0000,0.3000,1.2600,5904.10
F561-1,3,6,1.6977,0.5659,7.07,36.2880,0.9000,0.4000,2.4749,0.8250,7.85,36.2880,1.3310,0.8000,5904.10
F563-1,1,17,11.5558,0.8254,20.06,121.5000,3.6450,2.4200,18.1713,1.2979,26.67,217.4189,17.1487,1.7291,5904.10
F563-V1,3,6,0.8705,0.2902,6.25,0.0000,0.3000,1.0000,0.8565,0.2855,6.23,8.6382,0.1500,1.0000,5904.10
F563-V2,1,10,3.0502,0.4357,9.96,141.6000,2.0000,0.7200,3.6394,0.5199,10.55,166.2471,25.2724,4.7159,5904.10
F565-V2,2,7,0.4770,0.1193,6.31,99.7200,3.0000,0.7200,8.4536,2.1134,14.29,132.7273,12.5317,5.1875,5904.10
F567-2,3,5,0.9507,0.4754,5.78,41.7600,1.8000,1.0000,1.3006,0.6503,6.13,0.0000,0.3000,2.0000,5904.10
F568-1,1,12,4.1958,0.4662,11.65,170.4000,2.9700,0.1000,13.3700,1.4856,20.82,187.4400,18.9875,3.8974,5904.10
F568-3,1,18,18.2462,1.2164,26.92,144.0000,4.5000,0.2500,73.3927,4.8928,82.06,48.2337,53.8200,2.4200,5904.10
F568-V1,1,15,1.8782,0.1565,10.00,94.4000,1.4641,2.6620,2.9504,0.2459,11.07,171.3360,9.4153,3.2210,5904.10
F571-8,1,13,10.3000,1.0300,17.99,172.8000,2.9700,0.0500,42.7760,4.2776,50.47,306.1257,14.0308,0.0000,5904.10
F571-V1,2,7,0.6009,0.1502,6.44,101.1600,5.0000,1.4000,5.2197,1.3049,11.06,148.1084,15.6921,1.9212,5904.10
F574-1,1,14,10.1449,0.9223,18.06,79.7600,3.0000,2.0000,28.8280,2.6207,36.75,131.6040,10.6480,2.0000,5904.10
F574-2,3,5,0.2326,0.1163,5.06,32.0000,8.0000,0.4000,0.3492,0.1746,5.18,34.4995,25.1074,0.4500,5904.10
F579-V1,1,14,1.2581,0.1144,9.18,91.2000,0.5500,1.0000,3.4815,0.3165,11.40,123.1200,1.6200,2.0000,5904.10
F583-1,1,25,10.2759,0.4671,19.93,104.2800,3.0000,0.3000,49.9983,2.2726,59.65,152.6763,18.8636,2.3718,5904.10
F583-4,1,12,2.6834,0.2982,10.14,83.8800,5.0000,1.4000,6.4469,0.7163,13.90,74.4295,12.8841,2.0000,5904.10
IC2574,2,34,63.7701,2.0571,74.35,81.0000,5.0000,0.5000,1095.6638,35.3440,1106.24,3.2826,53.8200,2.4200,5904.10
IC4202,1,32,309.6699,10.6783,320.07,300.0000,2.7000,0.0000,923.1370,31.8323,933.53,439.2300,15.5897,0.3000,5904.10
KK98-251,2,15,5.9186,0.4932,14.04,41.5200,2.0000,1.5400,20.6766,1.7231,28.80,53.6218,33.6375,3.5431,5904.10
NGC0024,1,29,10.1314,0.3897,20.23,132.0000,5.5000,2.0000,19.6382,0.7553,29.74,193.2612,8.8578,1.4580,5904.10
NGC0055,2,21,20.6826,1.1490,29.82,115.3680,5.5000,0.4500,139.1776,7.7321,148.31,139.5953,15.5897,0.7290,5904.10
NGC0100,1,21,2.0737,0.1152,11.21,109.4400,3.0000,0.4500,53.7119,2.9840,62.85,160.2311,12.8841,0.7290,5904.10
NGC0247,2,26,55.1684,2.3986,64.94,86.4000,2.0000,0.9000,60.5457,2.6324,70.32,85.5360,10.6480,2.0000,5904.10
NGC0289,2,28,50.1243,2.0050,60.12,155.2000,0.8910,0.3500,51.8492,2.0740,61.85,309.8568,20.7499,0.5846,5904.10
NGC0300,2,25,12.5757,0.5716,22.23,116.4000,5.0000,1.4000,44.5527,2.0251,54.21,187.4634,12.7552,0.7748,5904.10
NGC0801,1,13,60.6504,6.0650,68.35,171.3600,1.4580,0.4500,68.9834,6.8983,76.68,337.3052,25.1074,0.5249,5904.10
NGC0891,1,18,56.3122,3.7541,64.98,205.9200,3.6300,0.3500,120.9837,8.0656,129.65,339.7680,10.6480,0.3500,5904.10
NGC1003,1,36,100.4229,3.0431,111.17,138.0000,8.8000,0.9680,248.6216,7.5340,259.37,202.0458,17.1487,0.6696,5904.10
NGC1090,1,24,36.9821,1.7611,46.52,140.8000,2.1780,0.4500,93.3806,4.4467,102.91,255.5520,18.8636,0.6480,5904.10
NGC1705,3,14,12.8233,1.1658,20.74,58.5600,0.3500,2.0000,4.8302,0.4391,12.75,128.6065,2.8989,1.7642,5904.10
NGC2366,3,26,29.1165,1.2659,38.89,64.4400,1.8000,0.3500,98.2241,4.2706,108.00,103.7813,6.3028,0.0000,5904.10
NGC2403,1,73,250.8042,3.5829,263.68,146.8800,4.5000,0.8000,397.5773,5.6797,410.45,238.9411,11.7128,0.5832,5904.10
NGC2683,2,11,17.2843,2.1605,24.48,152.6400,8.0000,0.8000,9.5658,1.1957,16.76,277.0416,8.6249,0.5832,5904.10
NGC2841,1,50,55.5095,1.1811,67.25,258.4000,0.3500,0.4000,78.7972,1.6765,90.53,515.8956,20.7499,0.7217,5904.10
NGC2903,1,34,209.3937,6.7546,219.97,172.8000,1.8000,0.4000,214.6560,6.9244,225.24,344.9952,8.7120,0.3500,5904.10
NGC2915,2,30,36.2473,1.3425,46.45,103.8000,1.8000,0.3000,26.8854,0.9958,37.09,167.1709,3.8357,0.3030,5904.10
NGC2955,1,24,132.3649,6.3031,141.90,178.8480,2.7000,0.4500,118.5911,5.6472,128.13,331.2000,6.0500,0.4000,5904.10
NGC2976,2,27,12.3292,0.5137,22.22,117.0840,3.6300,0.8000,21.8671,0.9111,31.75,0.0000,0.3000,0.9000,5904.10
NGC2998,1,13,16.2032,1.6203,23.90,171.2000,0.5500,0.4500,28.0800,2.8080,35.77,341.8008,22.8249,0.6561,5904.10
NGC3109,1,25,17.9661,0.8166,27.62,80.7600,2.2000,0.0000,389.6940,17.7134,399.35,130.0648,18.9875,3.4379,5904.10
NGC3198,1,43,43.1814,1.0795,54.46,138.1600,3.9930,0.7200,57.0671,1.4267,68.35,275.8364,15.5897,0.5314,5904.10
NGC3521,1,41,30.3494,0.7987,41.49,176.0000,1.0000,0.4000,23.4914,0.6182,34.63,351.3840,6.4308,0.4000,5904.10
NGC3726,2,12,28.0705,3.1189,35.53,135.2000,3.0000,0.4000,40.7453,4.5273,48.20,245.3880,15.5897,0.4500,5904.10
NGC3741,1,21,8.4438,0.4691,17.58,61.9200,2.0000,1.5400,58.6648,3.2592,67.80,90.6571,4.7159,0.0000,5904.10
NGC3769,2,12,7.5246,0.8361,14.98,110.8800,1.1979,0.3000,10.2149,1.1350,17.67,221.3719,10.4361,0.4224,5904.10
NGC3877,2,13,17.9781,1.7978,25.67,205.2000,2.0000,0.0000,95.7922,9.5792,103.49,0.0000,0.3000,0.8000,5904.10
NGC3893,1,10,8.2470,1.1781,15.15,155.2000,1.2100,0.4000,22.9793,3.2828,29.89,278.8711,11.7128,0.5832,5904.10
NGC3917,1,17,32.4711,2.3194,40.97,99.3600,2.7000,1.0000,64.2569,4.5898,72.76,130.9257,30.3800,1.4000,5904.10
NGC3949,2,7,2.5177,0.6294,8.36,148.7200,2.0000,0.4000,6.0926,1.5232,11.93,202.8000,3.9930,0.4000,5904.10
NGC3953,1,8,3.5888,0.7178,9.83,80.6400,4.5000,0.8000,3.9408,0.7882,10.18,119.2576,9.7436,0.8000,5904.10
NGC3972,1,10,3.0384,0.4341,9.95,160.8000,2.0000,0.0000,25.6932,3.6705,32.60,176.8800,12.8841,1.0000,5904.10
NGC3992,1,9,6.4534,1.0756,13.05,217.6000,0.2500,0.4000,6.1148,1.0191,12.71,394.9440,17.1487,0.7290,5904.10
NGC4010,2,12,15.5094,1.7233,22.96,154.8000,2.7000,0.0000,53.7844,5.9760,61.24,187.3080,12.8841,0.7128,5904.10
NGC4013,2,36,58.7733,1.7810,69.52,158.4000,2.2000,0.4000,65.0199,1.9703,75.77,316.2456,15.5897,0.4224,5904.10
NGC4051,2,7,4.3624,1.0906,10.20,128.8000,2.2000,0.4000,3.8321,0.9580,9.67,212.5200,5.0000,0.4000,5904.10
NGC4068,2,6,3.5035,1.1678,8.88,50.2800,2.0000,0.7200,11.7000,3.9000,17.08,55.3080,8.8000,1.0000,5904.10
NGC4085,2,7,19.9321,4.9830,25.77,119.6800,2.2000,0.4000,34.2897,8.5724,40.13,217.2192,10.7179,0.4000,5904.10
NGC4088,1,12,8.5667,0.9519,16.02,145.6000,5.5000,0.4000,9.5330,1.0592,16.99,264.2640,17.1487,0.3500,5904.10
NGC4100,1,24,36.0653,1.7174,45.60,156.0000,5.0000,0.8000,39.7266,1.8917,49.26,257.4000,8.8000,0.7200,5904.10
NGC4138,2,7,9.5447,2.3862,15.38,156.0000,7.2000,0.8000,6.3425,1.5856,12.18,251.2396,10.5415,0.6480,5904.10
NGC4157,1,17,8.5326,0.6095,17.03,160.8000,3.0000,0.4000,11.1936,0.7995,19.69,321.0372,14.1725,0.3500,5904.10
NGC4183,1,23,5.1302,0.2565,14.54,92.0000,2.0000,1.0000,10.9207,0.5460,20.33,166.9800,10.6480,1.1340,5904.10
